Description,Category,Categories
scandal emerging constituency development fund cdf contract organisation awarded contract supply desk supplying substandards desk delivering school evening without knowledge office member parliament mp councillor stakeholder,politics,"politics, education, development"
power dynamo opened 10point lead summit mtnfaz super league table thrashing chambishi fc 31 week29 mtnfaz super league fixture played arthur davy stadium kitwe,other,uncategorized
reminiscent second republic kenneth kaunda zambian suddenly seeing queue desperate citizen seek mealie mealsocial medium ha awash image woman particular long winding queue waiting buy mealie meal short supplyqueues associated rundown economy experienced unip oneparty 8230,economy,economy news
nation reporternkana member parliament binwell mpundu ha called resident kitwe kalulushi protest poor state chibuluma road ha suffered neglect long timemr mpundu ha complained chibuluma road ha remained state despair despite government promissed road wa 8230,politics,"politics, development"
sanfrossa mberi hundred kitwe resident yesterday thronged mufungo milling ltd trading nkana milling depot kapoto township queued hour end acutely scarce mealiemeal despite continued assurance government enough staple food country rush scramble 8230,politics,"politics, local news"
nation reporter authenticity social medium video claiming depict victim gunshot fired socialist party president fred m’membe ha come serious scrutiny video show upnd central province official james ntalasha ward uth standing guard youth clad upnd tshirt allegedly 8230,local news,"politics, local news"
nation reporter bowman lusambo wa sunday sneaked lubengele st pius catholic church wa realized safety wa guaranteed wa discovered suspected upnd cadre stationed church aim ambushing former lusaka province minister catholic priest 8230,politics,politics
mtn zambia continue investing huge sum money enhancing access efficient affordable internet service also ensuring people various part zambia access quality service like mobile money momo others make life easier,other,uncategorized
gained recognition book writing industry successful release book tagged created become talented writerauthor natasha mwaba bwali ha started see result work book ha shortlisted year’s coppa book award 2023 award ceremony held 28th april kitwe,entertainment,"career, business news"
power dynamo today seek revenge face green buffalo clash titan scheduled edwin imboela stadium lusaka,other,uncategorized
song wa produced climax studio kitwe visuals shot dee production singer first offer 2023 already receiving massive support online platform local radio station,local news,local news
rogers kalero upnd ha accused munir zulu attempting derail frustrate zambia’s debt restructuring exposing corruption allegation dr situmbeko musokotwane finance minister infrastructure counterpart charles milupi bowas kapata upnd kitwe youth chairman say mr zulu lumezi member parliament ha become champion 8230,politics,"politics, development, economy news"
